Date,Revenue,COGS,Actual_Profit,n_orders,n_items,n_returned_items,total_refunds,year,month,day,day_of_year,day_of_week,quarter,is_weekend,is_holiday,is_promo,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source,yoy_growth_ref,Revenue_ref,COGS_ref,revenue_mape_day
2012-07-30,6376557.31,5136255.3391,1240301.9709,263,1309,22,126235.4,2012,7,30,212,0,3,0,0,0,,,,,,,1.039405393049242,6586130.95,5195109.56,0.03182044839239047
2012-07-31,8839516.01,7061619.0555,1777896.9545,375,1999,44,209656.85,2012,7,31,213,1,3,0,1,0,,,,,,,1.039405393049242,9151622.14,7142891.18,0.034103913516691675
2012-08-01,8630849.46,6908971.766,1721877.694,340,1590,8,37734.15,2012,8,1,214,2,3,0,0,0,,,,,,,1.039405393049242,9148357.3,7308514.33,0.056568389605858506
2012-08-02,9443756.65,7384932.2611,2058824.3889,401,1972,12,42250.2,2012,8,2,215,3,3,0,1,0,,,,,,,1.039405393049242,9692427.0,7537501.15,0.0256561488675643
2012-08-03,8860848.57,6996626.6378999995,1864221.9321,342,1747,53,261973.78000000003,2012,8,3,216,4,3,0,1,0,,,,,,,1.039405393049242,9297269.95,7118808.46,0.04694080975889046
2012-08-04,6179382.24,4986074.6665,1193307.5735,235,1108,19,68406.08,2012,8,4,217,5,3,1,0,0,,,,,,,1.039405393049242,6384195.03,5087528.11,0.03208122387200944
2012-08-05,2185490.15,1824151.111,361339.039,74,347,33,120347.12,2012,8,5,218,6,3,1,0,0,,,,,,,1.039405393049242,2359224.19,1863413.11,0.07364032665331396
2012-08-06,3330544.14,2800199.303,530344.837,108,537,20,147083.88,2012,8,6,219,0,3,0,0,0,,,,,,,1.039405393049242,3630003.7,2922718.71,0.08249566246998592
2012-08-07,1998390.92,1671948.5984,326442.3216,88,447,29,112879.45999999999,2012,8,7,220,1,3,0,0,0,,,,,,,1.039405393049242,2240253.44,1781265.84,0.1079621241425256
2012-08-08,2499774.62,1951671.242,548103.378,125,607,16,51784.979999999996,2012,8,8,221,2,3,0,0,0,,,,,,,1.039405393049242,2617553.36,1997006.42,0.04499573601815696
2012-08-09,4206080.22,3599228.3712,606851.8488,154,814,47,242575.69999999998,2012,8,9,222,3,3,0,0,0,,,,,,,1.039405393049242,4478691.52,3621672.71,0.06086851456114572
2012-08-10,3084681.0,2650091.2095,434589.7905,155,747,56,271024.06,2012,8,10,223,4,3,0,0,0,,,,,,,1.039405393049242,3412496.65,2699279.56,0.09606328844308167
2012-08-11,2577513.07,2160359.3716,417153.6984,108,564,29,140878.88,2012,8,11,224,5,3,1,0,0,,,,,,,1.039405393049242,2732604.35,2168668.05,0.05675584904927794
2012-08-12,2897196.54,2443057.694,454138.846,133,649,41,200854.66,2012,8,12,225,6,3,1,0,0,,,,,,,1.039405393049242,3388181.83,2654275.25,0.14491113955356996
2012-08-13,3667732.81,3111357.0585,556375.7515,148,746,47,152774.26,2012,8,13,226,0,3,0,0,0,,,,,,,1.039405393049242,3928170.01,3189564.96,0.06629987992805834
2012-08-14,3771167.64,3149775.0512,621392.5888,147,745,29,122806.12,2012,8,14,227,1,3,0,0,0,,,,,,,1.039405393049242,4033912.16,3258198.58,0.0651339220038941
2012-08-15,3598089.29,2864742.9907,733346.2993,158,802,34,151816.06,2012,8,15,228,2,3,0,0,0,,,,,,,1.039405393049242,3780293.26,2886923.59,0.048198369139223804
2012-08-16,5077129.36,4179847.8528,897281.5072,207,1126,24,113705.70999999999,2012,8,16,229,3,3,0,0,0,,,,,,,1.039405393049242,5249978.18,4222455.97,0.03292372159916279
2012-08-17,3875299.56,3135980.8267,739318.7333,154,743,37,99923.97,2012,8,17,230,4,3,0,0,0,,,,,,,1.039405393049242,4089284.05,3238908.92,0.05232810618768333
2012-08-18,2993050.96,2661113.5354999998,331937.4245,129,617,39,217724.80000000002,2012,8,18,231,5,3,1,0,0,,,,,,,1.039405393049242,3450015.71,2808916.94,0.1324529475838242
2012-08-19,3643764.11,2961960.8806,681803.2294,156,837,36,202280.82,2012,8,19,232,6,3,1,0,0,,,,,,,1.039405393049242,3904300.93,3006801.4,0.06673072200917676
2012-08-20,3221620.59,2760078.7787,461541.8113,152,772,62,239785.46,2012,8,20,233,0,3,0,0,0,,,,,,,1.039405393049242,3541027.32,2827038.81,0.09020171298763094
2012-08-21,3774198.59,3197809.323,576389.267,166,819,38,171977.21,2012,8,21,234,1,3,0,0,0,,,,,,,1.039405393049242,4147483.23,3364364.64,0.090002688208579
2012-08-22,4183933.71,3354345.1908,829588.5192,176,882,28,136318.88,2012,8,22,235,2,3,0,0,0,,,,,,,1.039405393049242,4597682.81,3562468.33,0.0899907882075057
2012-08-23,5033767.0,3967599.6977999997,1066167.3022,222,1060,39,134683.32,2012,8,23,236,3,3,0,0,0,,,,,,,1.039405393049242,5478869.55,4195738.04,0.08123985175007495
2012-08-24,4409185.45,3559183.8568,850001.5932,191,941,39,124958.08,2012,8,24,237,4,3,0,0,0,,,,,,,1.039405393049242,4637850.57,3632210.67,0.04930411546226253
2012-08-25,3340744.89,2711525.8106,629219.0794,136,682,35,152437.18,2012,8,25,238,5,3,1,0,0,,,,,,,1.039405393049242,3589566.28,2784342.75,0.06931795392283428
2012-08-26,4026412.35,3395345.3445,631067.0055,160,824,31,161977.41999999998,2012,8,26,239,6,3,1,0,0,,,,,,,1.039405393049242,4280204.53,3476942.48,0.0592944047933149
2012-08-27,2834726.55,2254002.4771,580724.0729,131,602,30,81683.89,2012,8,27,240,0,3,0,0,0,,,,,,,1.039405393049242,3038895.84,2365260.68,0.06718535308534959
2012-08-28,9186828.15,7313934.8905,1872893.2595,382,1966,32,172200.33,2012,8,28,241,1,3,0,1,0,,,,,,,1.039405393049242,9508676.62,7439851.59,0.033847872092215375
2012-08-29,8844208.41,7128831.7463,1715376.6637,368,1961,26,159355.52,2012,8,29,242,2,3,0,1,0,,,,,,,1.039405393049242,9260558.32,7336294.54,0.0449594825293428
2012-08-30,9641818.38,7749741.4099,1892076.9701,388,1990,39,175510.40999999997,2012,8,30,243,3,3,0,1,0,,,,,,,1.039405393049242,10086534.1,7950911.72,0.04409004278288206
2012-08-31,8597836.26,6948065.2198,1649771.0402,377,1901,36,115475.02,2012,8,31,244,4,3,0,0,0,,,,,,,1.039405393049242,9104678.52,7277460.12,0.05566833127458956
2012-09-01,7861514.01,6359576.1843,1501937.8257,326,1757,27,232778.57,2012,9,1,245,5,3,1,0,0,,,,,,,1.039405393049242,8560208.92,6738335.17,0.08162124505718257
2012-09-02,2314652.17,1844769.0284,469883.1416,103,477,29,144746.47,2012,9,2,246,6,3,1,1,0,,,,,,,1.039405393049242,2587099.44,1946097.28,0.10530993350607351
2012-09-03,3526527.0,2968908.951,557618.049,144,734,34,225389.39,2012,9,3,247,0,3,0,0,0,,,,,,,1.039405393049242,3865505.01,3063431.08,0.0876930722177488
2012-09-04,3431994.95,2844972.5925,587022.3575,145,663,45,171376.43,2012,9,4,248,1,3,0,0,0,,,,,,,1.039405393049242,3645749.44,2876968.79,0.05863115211779331
2012-09-05,1965862.4,1775703.4638,190158.9362,81,397,44,196717.07,2012,9,5,249,2,3,0,0,0,,,,,,,1.039405393049242,2398185.51,1966376.48,0.1802709207429078
2012-09-06,2680636.6,2074846.704,605789.896,115,614,16,82635.49,2012,9,6,250,3,3,0,0,0,,,,,,,1.039405393049242,2858227.37,2147909.96,0.062133185016697956
2012-09-07,3036324.54,2418995.7646,617328.7754,133,644,14,40420.24,2012,9,7,251,4,3,0,0,0,,,,,,,1.039405393049242,3282753.8,2580035.06,0.0750678470008929
2012-09-08,3463666.92,2707191.1576,756475.7624,128,626,23,79984.97,2012,9,8,252,5,3,1,0,0,,,,,,,1.039405393049242,3666204.89,2804001.32,0.05524458563471072
2012-09-09,4022159.12,3331447.878,690711.242,162,820,35,126433.06999999999,2012,9,9,253,6,3,1,0,0,,,,,,,1.039405393049242,4458501.42,3589475.8,0.09786748032481278
2012-09-10,4176179.92,3289695.3833,886484.5367,179,928,38,112120.33,2012,9,10,254,0,3,0,0,0,,,,,,,1.039405393049242,4548962.79,3517300.88,0.08194898204476192
2012-09-11,3755102.46,3160371.2436,594731.2164,126,623,34,116393.72,2012,9,11,255,1,3,0,0,0,,,,,,,1.039405393049242,4021565.55,3264364.41,0.06625854699794707
2012-09-12,3117812.35,2621664.5357,496147.8143,105,574,26,133159.78,2012,9,12,256,2,3,0,0,0,,,,,,,1.039405393049242,3335978.29,2673690.65,0.0653978896247553
2012-09-13,2379158.65,2048634.3326,330524.3174,112,544,42,168681.59,2012,9,13,257,3,3,0,0,0,,,,,,,1.039405393049242,2609609.29,2103806.97,0.08830848391101494
2012-09-14,3472193.25,2721108.8277,751084.4223,131,668,36,96972.84999999999,2012,9,14,258,4,3,0,0,0,,,,,,,1.039405393049242,3729228.43,2835412.27,0.0689244933167047
2012-09-15,3384526.0,2802799.2091,581726.7909,128,710,41,147446.43,2012,9,15,259,5,3,1,0,0,,,,,,,1.039405393049242,3605125.64,2849539.9,0.0611905553449727
2012-09-16,4230624.03,3454107.5116,776516.5184,166,817,24,94477.1,2012,9,16,260,6,3,1,0,0,,,,,,,1.039405393049242,4452012.44,3561492.95,0.04972771594501657
2012-09-17,4607543.55,3854195.4678,753348.0822,200,1009,17,105194.93,2012,9,17,261,0,3,0,0,0,,,,,,,1.039405393049242,4811788.67,3932069.23,0.042446818430203447
2012-09-18,4697476.98,3983792.4453,713684.5347,177,874,33,203736.07,2012,9,18,262,1,3,0,0,0,,,,,,,1.039405393049242,5078878.07,4123200.89,0.07509553975175463
2012-09-19,3474585.54,2974044.4801,500541.0599,142,764,40,160115.02,2012,9,19,263,2,3,0,0,0,,,,,,,1.039405393049242,3680241.62,3014323.76,0.055881135326109395
2012-09-20,3561811.08,2994574.0687,567237.0113,154,757,25,97961.8,2012,9,20,264,3,3,0,0,0,,,,,,,1.039405393049242,3763143.75,3080273.62,0.05350119032790069
2012-09-21,3675077.34,2850901.1636,824176.1764,142,706,27,99439.05,2012,9,21,265,4,3,0,0,0,,,,,,,1.039405393049242,3943768.14,2978697.93,0.06813047584486046
2012-09-22,3381258.91,2785156.823,596102.087,153,742,36,212802.95,2012,9,22,266,5,3,1,0,0,,,,,,,1.039405393049242,3872374.03,3011266.74,0.12682533148792954
2012-09-23,3852267.85,3142991.3467,709276.5033,172,804,19,85734.4,2012,9,23,267,6,3,1,0,0,,,,,,,1.039405393049242,4118299.54,3294951.2,0.06459746004779438
2012-09-24,5440388.94,4448439.0707,991949.8693,236,1104,27,111658.6,2012,9,24,268,0,3,0,0,0,,,,,,,1.039405393049242,5733263.53,4585762.62,0.05108339926596743
2012-09-25,5198190.84,4295797.1814,902393.6586,236,1206,38,208952.12,2012,9,25,269,1,3,0,0,0,,,,,,,1.039405393049242,5639897.53,4502395.62,0.07831821192680435
2012-09-26,4279239.94,3656588.8953,622651.0447,196,947,49,294479.38,2012,9,26,270,2,3,0,0,0,,,,,,,1.039405393049242,4592282.59,3670417.04,0.06816711381866408
2012-09-27,7257937.31,5830795.1925,1427142.1175,339,1690,24,72123.44,2012,9,27,271,3,3,0,1,0,,,,,,,1.039405393049242,7556892.66,6017108.13,0.03956061882186382
2012-09-28,4552677.18,3738390.5391,814286.6409,207,1061,35,129061.22,2012,9,28,272,4,3,0,0,0,,,,,,,1.039405393049242,4892631.14,3884590.92,0.0694828508980957
2012-09-29,5038238.72,4043149.7912,995088.9288,217,1155,23,113451.14,2012,9,29,273,5,3,1,0,0,,,,,,,1.039405393049242,5304374.46,4170120.63,0.0501728793860455
2012-09-30,4579504.29,3788733.4419,790770.8481,193,1006,22,76756.34,2012,9,30,274,6,3,1,0,0,,,,,,,1.039405393049242,4694379.86,3812737.52,0.02447087228258522
2012-10-01,4506206.45,3678438.3408,827768.1092,202,1001,30,150480.03,2012,10,1,275,0,4,0,0,0,,,,,,,1.039405393049242,4752532.1,3764447.04,0.0518304021555161
2012-10-02,2933178.06,2522078.659,411099.401,102,487,39,235161.4,2012,10,2,276,1,4,0,0,0,,,,,,,1.039405393049242,3233135.78,2566510.62,0.09277609738988436
2012-10-03,3016917.36,2446245.7431,570671.6169,98,458,26,116852.15000000001,2012,10,3,277,2,4,0,0,0,,,,,,,1.039405393049242,3515132.03,2762823.63,0.14173426936683228
2012-10-04,2084942.61,1722556.9835,362385.6265,73,351,25,94519.42,2012,10,4,278,3,4,0,0,0,,,,,,,1.039405393049242,2398137.74,1902425.74,0.13059930827826433
2012-10-05,2287157.09,2018145.1702,269011.9198,97,454,46,316901.88,2012,10,5,279,4,4,0,0,0,,,,,,,1.039405393049242,2665953.06,2064899.19,0.14208651145568188
2012-10-06,1817332.58,1548666.2069,268666.3731,73,362,38,132573.29,2012,10,6,280,5,4,1,0,0,,,,,,,1.039405393049242,2205266.94,1755004.4,0.1759126539120928
2012-10-07,3152021.21,2623724.6815,528296.5285,108,574,29,126872.85,2012,10,7,281,6,4,1,0,0,,,,,,,1.039405393049242,3389598.07,2725469.75,0.07008997972435117
2012-10-08,3748182.45,3226684.2676,521498.1824,138,711,41,214396.41,2012,10,8,282,0,4,0,0,0,,,,,,,1.039405393049242,4037039.45,3285493.04,0.0715516911780488
2012-10-09,4089000.41,3472700.6256,616299.7844,167,820,32,209675.35,2012,10,9,283,1,4,0,0,0,,,,,,,1.039405393049242,4298675.76,3472700.63,0.048776730720439275
2012-10-10,3315011.66,2774706.6746,540304.9854,126,665,39,154778.66,2012,10,10,284,2,4,0,0,0,,,,,,,1.039405393049242,3548716.67,2839202.59,0.06585620429370592
2012-10-11,3271317.36,2686091.7492,585225.6108,106,545,22,48709.74,2012,10,11,285,3,4,0,0,0,,,,,,,1.039405393049242,3421490.39,2765374.16,0.043891115532257934
2012-10-12,2153775.18,1807669.411,346105.769,91,485,32,189341.09,2012,10,12,286,4,4,0,0,0,,,,,,,1.039405393049242,2380119.87,1830898.15,0.09509802126058463
2012-10-13,2315337.89,2080212.0581,235125.8319,120,563,56,265916.8,2012,10,13,287,5,4,1,0,0,,,,,,,1.039405393049242,2798011.44,2256579.15,0.17250592442181
2012-10-14,2600257.55,2319925.2015,280332.3485,109,578,26,218556.49,2012,10,14,288,6,4,1,0,0,,,,,,,1.039405393049242,3055629.78,2516987.32,0.1490272915195898
2012-10-15,3150330.2,2605124.289,545205.911,138,728,15,51745.84,2012,10,15,289,0,4,0,0,0,,,,,,,1.039405393049242,3234517.3,2632811.8,0.02602771671680335
2012-10-16,3377215.42,2751972.0212,625243.3988,149,755,43,159447.38,2012,10,16,290,1,4,0,0,0,,,,,,,1.039405393049242,3549298.21,2763325.25,0.04848360994721828
2012-10-17,3424961.78,2903166.4936,521795.2864,127,654,40,146676.63,2012,10,17,291,2,4,0,0,0,,,,,,,1.039405393049242,3818048.0,3108682.75,0.10295476117639175
2012-10-18,2776608.45,2249191.7505,527416.6995,108,544,19,57423.21,2012,10,18,292,3,4,0,0,0,,,,,,,1.039405393049242,2909728.89,2301277.14,0.04575011797748619
2012-10-19,2572210.49,2232813.1947,339397.2953,96,479,32,170350.88,2012,10,19,293,4,4,0,0,0,,,,,,,1.039405393049242,2877379.81,2352068.71,0.10605805981518993
2012-10-20,3098380.68,2591780.6482,506600.0318,104,530,26,67994.02,2012,10,20,294,5,4,1,0,0,,,,,,,1.039405393049242,3242557.3,2647331.71,0.044463861903072506
2012-10-21,2140607.49,1905207.6398,235399.8502,112,516,31,235055.52,2012,10,21,295,6,4,1,0,0,,,,,,,1.039405393049242,2395609.91,1920246.47,0.10644571928657613
2012-10-22,3283512.0,2748070.0581,535441.9419,138,743,38,128745.16,2012,10,22,296,0,4,0,0,0,,,,,,,1.039405393049242,3596158.34,2873316.18,0.08693898055667923
2012-10-23,3715612.56,3037774.9881,677837.5719,164,839,28,118146.61000000002,2012,10,23,297,1,4,0,0,0,,,,,,,1.039405393049242,3999141.88,3151858.27,0.0708975396491809
2012-10-24,3594491.09,2959500.3391,634990.7509,149,755,34,125599.1,2012,10,24,298,2,4,0,0,0,,,,,,,1.039405393049242,3829179.99,3037851.31,0.061289597410645706
2012-10-25,2907048.19,2449787.5328,457260.6572,120,612,16,95760.18,2012,10,25,299,3,4,0,0,0,,,,,,,1.039405393049242,3104460.52,2528526.7,0.0635898987048481
2012-10-26,2049202.59,1668057.4618,381145.1282,90,459,31,85755.38,2012,10,26,300,4,4,0,0,0,,,,,,,1.039405393049242,2138927.17,1671777.12,0.041948403507352634
2012-10-27,2590065.27,2155529.8807,434535.3893,117,664,20,64950.0,2012,10,27,301,5,4,1,0,0,,,,,,,1.039405393049242,2816872.34,2296869.06,0.08051734073259417
2012-10-28,5810999.88,4725002.012,1085997.868,249,1319,28,73799.91,2012,10,28,302,6,4,1,1,0,,,,,,,1.039405393049242,6259883.83,5044146.85,0.07170803200033189
2012-10-29,5031347.09,4152115.1493,879231.9407,229,1187,32,178806.67,2012,10,29,303,0,4,0,0,0,,,,,,,1.039405393049242,5424539.1,4294440.71,0.07248394799108367
2012-10-30,5739165.51,4678150.2524,1061015.2576,240,1341,21,106966.1,2012,10,30,304,1,4,0,1,0,,,,,,,1.039405393049242,6347274.89,5049887.71,0.0958063721106618
2012-10-31,4791028.39,3806393.4408,984634.9492,209,1129,12,59658.799999999996,2012,10,31,305,2,4,0,0,0,,,,,,,1.039405393049242,4942677.89,3871571.88,0.030681647352908934
2012-11-01,5377794.03,4346014.517,1031779.513,198,1051,15,56765.259999999995,2012,11,1,306,3,4,0,0,0,,,,,,,1.039405393049242,5536748.35,4440955.34,0.028708965976392872
2012-11-02,1629228.88,1515067.6062,114161.2738,64,324,48,264971.21,2012,11,2,307,4,4,0,0,0,,,,,,,1.039405393049242,1936831.08,1547786.14,0.15881725731084415
2012-11-03,2779893.91,2072036.3175000001,707857.5925,82,422,9,33003.43,2012,11,3,308,5,4,1,0,0,,,,,,,1.039405393049242,2911848.61,2151815.97,0.045316469938318574
2012-11-04,2555559.38,2131401.6988,424157.6812,85,469,13,103273.37000000001,2012,11,4,309,6,4,1,0,0,,,,,,,1.039405393049242,2658832.75,2131401.7,0.03884161950389701
2012-11-05,2893122.61,2564609.1496,328513.4604,121,585,33,236659.77,2012,11,5,310,0,4,0,0,0,,,,,,,1.039405393049242,3332448.46,2732792.99,0.13183275158590152
2012-11-06,3266536.8,2710993.4821,555543.3179,104,507,9,26961.65,2012,11,6,311,1,4,0,0,0,,,,,,,1.039405393049242,3439495.01,2809375.18,0.05028593136409289
2012-11-07,1884320.07,1538155.0996,346164.9704,69,344,19,85495.84,2012,11,7,312,2,4,0,0,0,,,,,,,1.039405393049242,1969815.91,1538155.1,0.04340295941664917
2012-11-08,2023790.96,1685351.4311,338439.5289,83,416,36,123326.58,2012,11,8,313,3,4,0,0,0,,,,,,,1.039405393049242,2197716.17,1723412.77,0.07913906826285032
2012-11-09,2629499.16,2284895.2745,344603.8855,106,556,44,246692.78,2012,11,9,314,4,4,0,0,0,,,,,,,1.039405393049242,2920310.06,2308918.6,0.09958219984353302
2012-11-10,2941525.77,2445144.0246,496381.7454,119,593,31,133861.98,2012,11,10,315,5,4,1,0,0,,,,,,,1.039405393049242,3124993.27,2475389.25,0.05870972643726686
2012-11-11,3350295.02,2683493.1813,666801.8387,137,702,26,95954.79,2012,11,11,316,6,4,1,0,0,,,,,,,1.039405393049242,3484874.3,2713727.18,0.03861811601066925
2012-11-12,3546580.96,2936794.2046,609786.7554,164,872,23,97565.37,2012,11,12,317,0,4,0,0,0,,,,,,,1.039405393049242,3806978.06,3077336.49,0.06839994764771512
2012-11-13,3634621.62,2899534.9033,735086.7167,143,723,14,28563.989999999998,2012,11,13,318,1,4,0,0,0,,,,,,,1.039405393049242,3848498.06,3048755.92,0.05557400229012976
2012-11-14,2989262.53,2509456.4159,479806.1141,131,638,44,179514.05,2012,11,14,319,2,4,0,0,0,,,,,,,1.039405393049242,3213518.64,2550177.92,0.06978522147299582
2012-11-15,2635938.12,2125167.691,510770.429,132,678,37,159214.49000000002,2012,11,15,320,3,4,0,0,0,,,,,,,1.039405393049242,2996358.37,2282178.26,0.12028609581837169
2012-11-16,2620154.14,2195404.9108,424749.2292,113,554,30,166708.56,2012,11,16,321,4,4,0,0,0,,,,,,,1.039405393049242,2851503.98,2255928.16,0.08113256780374539
2012-11-17,3019200.11,2416257.4353,602942.6747,121,629,22,117730.56999999999,2012,11,17,322,5,4,1,0,0,,,,,,,1.039405393049242,3258479.4,2499839.57,0.07343280733952164
2012-11-18,3062750.62,2518340.5574,544410.0626,124,680,28,84885.8,2012,11,18,323,6,4,1,0,0,,,,,,,1.039405393049242,3292697.97,2632996.71,0.06983554279653535
2012-11-19,4263456.16,3599876.1143,663580.0457,164,881,61,250823.44,2012,11,19,324,0,4,0,1,0,,,,,,,1.039405393049242,4654711.93,3714724.53,0.08405585047665873
2012-11-20,3255783.17,2768794.5554,486988.6146,137,698,41,162733.3,2012,11,20,325,1,4,0,0,0,,,,,,,1.039405393049242,3532139.01,2841184.71,0.07824036347878616
2012-11-21,2872399.85,2365760.9815,506638.8685,135,617,25,147854.11,2012,11,21,326,2,4,0,0,0,,,,,,,1.039405393049242,3144567.59,2465022.82,0.08655172204455613
2012-11-22,2498011.64,1990254.9396,507756.7004,106,518,17,52881.47,2012,11,22,327,3,4,0,0,0,,,,,,,1.039405393049242,2661394.83,2082526.75,0.06139006063974354
2012-11-23,3266155.79,2694412.3625,571743.4275,133,785,31,123984.49,2012,11,23,328,4,4,0,0,0,,,,,,,1.039405393049242,3625609.77,2879673.14,0.09914304153036303
2012-11-24,2117496.91,1751884.3682000001,365612.5418,131,668,44,155849.38,2012,11,24,329,5,4,1,0,0,,,,,,,1.039405393049242,2283866.51,1759438.38,0.07284558851033708
2012-11-25,2634295.85,2152488.9797,481806.8703,119,652,22,85508.36,2012,11,25,330,6,4,1,0,0,,,,,,,1.039405393049242,2891169.43,2288045.69,0.0888476397593897
2012-11-26,3401985.78,2840928.1575,561057.6225,177,897,18,117596.47,2012,11,26,331,0,4,0,0,0,,,,,,,1.039405393049242,3626699.25,2942841.67,0.06196087806288327
2012-11-27,4396818.02,3653277.2225,743540.7975,250,1374,40,185167.2,2012,11,27,332,1,4,0,1,0,,,,,,,1.039405393049242,4703189.22,3751057.26,0.06514115968313097
2012-11-28,3766609.72,3062317.1627,704292.5573,212,1190,32,109758.38,2012,11,28,333,2,4,0,0,0,,,,,,,1.039405393049242,3980270.66,3143037.5,0.05368000275639545
2012-11-29,2939398.26,2497141.7173,442256.5427,172,963,14,104799.4,2012,11,29,334,3,4,0,0,0,,,,,,,1.039405393049242,3116036.61,2564940.27,0.05668686607632639
